0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0.97924644,0.97594696,0.97496253,0.9677075,0.96321833,0.9579995,0.9558635,0.9531224,0.95120704,0.94559973,0.94402313,0.93795365,0.9376014,0.93600714,0.93143505,0.9231152,0.92113096,0.9144086,0.9031619,0.8974286,0.8959324,0.8867392,0.88071376,0.8786926,0.866367,0.8331194,0.8308473,0.820769,0.8098069,0.7963475,0.77765197,0.73511946,0.7016859,0.6689557,0.62499774,0.56826234,0.5190819,0.3325144,0.17448856,0.04093476
0.97938216,0.9755711,0.97215325,0.9675126,0.9606274,0.95678127,0.95538163,0.95164216,0.9479414,0.9430792,0.9389022,0.9368743,0.934017,0.9303399,0.9281287,0.91825163,0.91524607,0.90524006,0.89822286,0.8941344,0.88596755,0.8727066,0.8696151,0.8627937,0.8551596,0.84417444,0.8312439,0.8053265,0.80070156,0.77558804,0.7657931,0.746614,0.70381296,0.66232806,0.6207955,0.5738105,0.5357268,0.35024193,0.252807,0.07824728
0.9800089,0.9769485,0.9714415,0.9640007,0.96112347,0.9562439,0.95511794,0.95272607,0.9489823,0.94489497,0.9403773,0.93528634,0.93205905,0.92804444,0.92014337,0.9176969,0.91375595,0.9087693,0.8986444,0.8932723,0.8812709,0.87279797,0.8650641,0.8524319,0.84719324,0.82900465,0.80478424,0.79707265,0.7862695,0.77764595,0.75715965,0.69423014,0.69391084,0.6474718,0.58237416,0.53321177,0.4322447,0.36837387,0.33308163,0.0882466
0.9811478,0.97821355,0.9705584,0.96753955,0.9661997,0.9597759,0.9547735,0.951511,0.94721204,0.9454883,0.93882865,0.9365458,0.935916,0.92640203,0.920637,0.9160464,0.90732217,0.9070226,0.899661,0.8953378,0.88179725,0.87727475,0.86408585,0.85424703,0.841284,0.83250093,0.8212272,0.79634696,0.7807399,0.7551813,0.7387557,0.7070504,0.6880527,0.65605927,0.6325032,0.5784545,0.45850533,0.42674923,0.27741188,0.0070877937
0.9797114,0.9789204,0.96943593,0.96911865,0.96420944,0.9607475,0.95656055,0.955402,0.94940615,0.947707,0.94300514,0.9390826,0.9359599,0.9310494,0.9236208,0.9198632,0.91613936,0.90763414,0.89999455,0.8951232,0.8882336,0.87837774,0.87798125,0.8673315,0.8623842,0.8434319,0.84031075,0.820382,0.79464,0.7763664,0.7403785,0.7020306,0.6832321,0.6333865,0.5859371,0.5103647,0.35990486,0.2686179,0.16265209,0.11065076
0.9828645,0.97930926,0.97394866,0.9685006,0.9675744,0.9621371,0.96044093,0.9539541,0.95017165,0.9486466,0.94235414,0.9385163,0.934113,0.9303355,0.9292468,0.92266524,0.9141389,0.9081671,0.9036311,0.89938265,0.8911307,0.887056,0.88084275,0.8737535,0.86374235,0.8498552,0.83020586,0.82258606,0.81377447,0.8022829,0.78456664,0.7126866,0.70305973,0.61203814,0.53207034,0.41871694,0.37312317,0.35490358,0.09543628,0.02455196
0.9816245,0.9795593,0.9729279,0.9689239,0.96632797,0.96227205,0.95981544,0.9590788,0.9523744,0.9462026,0.94262034,0.93882346,0.93509215,0.93091094,0.92910814,0.9246773,0.9158302,0.90876377,0.90470046,0.90181476,0.8972374,0.8847934,0.8770788,0.86737233,0.8613173,0.85488135,0.8449,0.82204854,0.8179805,0.80202776,0.74913937,0.7193884,0.68987113,0.66573244,0.6281498,0.49292764,0.4326063,0.21487768,0.1330563,0.044808548
0.97884506,0.9754688,0.9696214,0.9658031,0.9644008,0.96020097,0.9581994,0.9564361,0.9480598,0.9403265,0.93710285,0.9348821,0.92916864,0.92703897,0.9236212,0.92215073,0.9147517,0.9101711,0.9019647,0.89937955,0.88837713,0.8762353,0.8739379,0.87092155,0.85390437,0.8495565,0.8352833,0.81436384,0.8110544,0.7991871,0.74501956,0.7044429,0.64955306,0.58660936,0.5710099,0.48672983,0.4215777,0.35775605,0.1718111,0.036471605
0.97539127,0.97188056,0.967803,0.9632985,0.96025103,0.95750093,0.95588005,0.9517228,0.9467902,0.9366925,0.9349587,0.93074363,0.92513716,0.919645,0.9150633,0.9108601,0.90195477,0.89779186,0.89643604,0.88453907,0.8798279,0.8756378,0.8616465,0.8541286,0.8491844,0.8448658,0.81300294,0.79435927,0.78389573,0.7701166,0.7216336,0.6839589,0.66340595,0.5992785,0.557382,0.46962082,0.39829198,0.37151155,0.21316166,0.110164255
0.9765491,0.97324145,0.9677236,0.96278316,0.96114606,0.9579562,0.9555997,0.950105,0.94436026,0.94009286,0.93489504,0.9314592,0.919617,0.9169389,0.91150063,0.91081476,0.90430754,0.9014398,0.88616836,0.88183904,0.8710999,0.8619767,0.8586375,0.8497115,0.8450705,0.8363583,0.8067583,0.7871522,0.78220046,0.74166685,0.7259854,0.7086209,0.65461475,0.64632,0.54226846,0.4766501,0.40616378,0.4000456,0.16371854,0.12819952
