0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0.861348,0.83304155,0.8172036,0.7978829,0.796384,0.7861397,0.7732401,0.7606546,0.7510451,0.7452906,0.74030083,0.7331849,0.72340125,0.71443415,0.70400125,0.6997779,0.6826907,0.6744601,0.6595675,0.64519244,0.60773927,0.5998321,0.5890922,0.57214963,0.5634881,0.5013165,0.46975,0.44418848,0.4280528,0.3880893,0.3566938,0.31880802,0.2796124,0.2531944,0.19495195,0.18305473,0.16727547,0.13305476,0.09299122,0.025093319
0.8857566,0.83033496,0.814687,0.7930586,0.7811615,0.7668593,0.74891496,0.74628353,0.7293327,0.72133815,0.7117438,0.7070314,0.6846126,0.6809527,0.6705411,0.6635326,0.654079,0.6361285,0.61304474,0.6076135,0.5836325,0.56959885,0.561528,0.5320035,0.52385473,0.48416656,0.4699142,0.42329648,0.38960555,0.38587278,0.34397087,0.29973862,0.2789773,0.21904375,0.19704556,0.123462975,0.10867343,0.0953185,0.051397387,0.014918762
0.84332186,0.81001073,0.80254257,0.7827657,0.7667956,0.7580902,0.7470577,0.72647816,0.7139966,0.71115994,0.7079562,0.69048125,0.67843175,0.66196406,0.65257525,0.6520271,0.6411805,0.6276263,0.6248412,0.6005804,0.5750521,0.54703456,0.5338477,0.5177126,0.5075664,0.49403596,0.4840439,0.4559426,0.41158703,0.3934842,0.3731592,0.33556354,0.2753318,0.25121436,0.2301838,0.16188183,0.110857956,0.096299574,0.037738204,6.8481386e-05
0.84578955,0.84114903,0.83635277,0.8282555,0.8194187,0.81578296,0.80449855,0.792289,0.7829874,0.77757025,0.7705881,0.7628145,0.75094223,0.7399146,0.73687685,0.7280438,0.70270604,0.68954736,0.67863506,0.668645,0.6615441,0.6380498,0.6239749,0.5977516,0.590369,0.5877181,0.5681075,0.5427428,0.48408648,0.46570748,0.4441474,0.401807,0.3732019,0.34986416,0.3018436,0.25652903,0.20289429,0.14102994,0.12509839,0.054420277
0.8399464,0.8272712,0.81366384,0.80404097,0.794011,0.789847,0.78305846,0.76832074,0.76456726,0.7549539,0.7514377,0.7412922,0.732371,0.7294502,0.71997833,0.707899,0.689856,0.6806708,0.6711285,0.6551286,0.6435364,0.6367628,0.6080914,0.5906055,0.58432305,0.5665412,0.5522466,0.4958353,0.48167247,0.46379942,0.4406637,0.38433746,0.3075991,0.3030398,0.2832962,0.23048776,0.19725645,0.15219417,0.10073343,0.032831132
0.85782325,0.83325243,0.8206263,0.81399935,0.80556846,0.7953307,0.7905842,0.77738506,0.7668121,0.7612905,0.7539174,0.7489118,0.73401445,0.72759485,0.7173157,0.7102752,0.7057636,0.691385,0.6736213,0.66910106,0.6534995,0.6367238,0.61983776,0.6039857,0.59369767,0.5714973,0.564866,0.53516513,0.49996927,0.47151077,0.43603247,0.4040757,0.38805264,0.31900677,0.2883082,0.26281324,0.2247214,0.1700341,0.054206196,0.048437655
0.86111027,0.8428595,0.8292422,0.8138414,0.7855594,0.7806684,0.7753501,0.7516729,0.747425,0.7361201,0.7287627,0.7211142,0.7186931,0.706427,0.6993739,0.68782943,0.6755938,0.6689204,0.6531732,0.6405641,0.6286604,0.6207387,0.59655803,0.5901207,0.5806504,0.5680137,0.53391683,0.50116336,0.47644335,0.4466371,0.41108435,0.4011415,0.37299645,0.29967523,0.2720937,0.21473749,0.18849829,0.12136879,0.04031435,0.009282694
0.87974125,0.8377466,0.8245492,0.8166246,0.8054192,0.7964803,0.77832925,0.76260155,0.75733525,0.7397206,0.7318015,0.718035,0.7099464,0.70086986,0.69291604,0.6850171,0.6741101,0.6668673,0.6541228,0.62774897,0.61216545,0.6101417,0.5946229,0.57995903,0.56983805,0.5597044,0.551978,0.5124831,0.49860772,0.45933375,0.43689227,0.41279534,0.33146298,0.31003505,0.25429875,0.21551517,0.18209471,0.097642966,0.057245594,0.004575011
0.8737304,0.8684909,0.8529398,0.8356647,0.8210354,0.81154597,0.8094462,0.7992088,0.7889291,0.7771127,0.7618747,0.7545096,0.74565315,0.7294008,0.72807086,0.718254,0.715072,0.70572734,0.67897594,0.66408896,0.659348,0.6357135,0.6093057,0.6065068,0.5826823,0.57514185,0.56410754,0.5342557,0.51728165,0.488406,0.45959496,0.4502427,0.38081256,0.37683326,0.3314622,0.2558244,0.21314362,0.15299821,0.14683579,0.043242574
0.9355857,0.89897186,0.8789893,0.87604177,0.8606215,0.850811,0.84566677,0.8350621,0.82481676,0.8204869,0.8062601,0.79367846,0.79261154,0.78166217,0.76821494,0.75564027,0.73512137,0.7231492,0.71366507,0.7102585,0.6949469,0.68864393,0.6762137,0.64589095,0.64262694,0.6299461,0.62326026,0.60715365,0.5953306,0.54040843,0.48962608,0.45590913,0.4347462,0.40751186,0.3024988,0.28196096,0.21569642,0.17604204,0.08740575,0.03436021
