0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0.84804994,0.8252411,0.8193967,0.81185734,0.79274714,0.7740224,0.76812685,0.75342923,0.74725854,0.7149237,0.7051219,0.6960852,0.65853405,0.64641786,0.6125782,0.592511,0.5835194,0.51854503,0.4537253,0.40451,0.3333412,0.25258538,0.19249369,0.12745924,0.011199406
0.86749977,0.8529139,0.8242234,0.8195156,0.8011086,0.7850364,0.7660715,0.7494856,0.73882335,0.72269887,0.7168141,0.6903693,0.6796383,0.6574885,0.6371376,0.61403275,0.57936627,0.56471986,0.4891296,0.44412273,0.2511868,0.22425988,0.14346263,0.069362886,0.005466703
0.8619948,0.8384809,0.8335631,0.82554907,0.8063864,0.8031325,0.78567034,0.7630565,0.7568823,0.74557644,0.733891,0.7218475,0.70825607,0.6967237,0.679576,0.6613472,0.63232285,0.5965524,0.5686225,0.5213319,0.41767344,0.28839055,0.28536618,0.14865129,0.030906176
0.8633395,0.8586659,0.83755404,0.83059114,0.82345456,0.8120994,0.8033569,0.78042203,0.7696899,0.76647204,0.76161927,0.7418333,0.72028923,0.71021396,0.6969157,0.6784274,0.6475851,0.6104574,0.58559906,0.5179835,0.44835648,0.3562426,0.24721721,0.23382829,0.05091582
0.86617255,0.835919,0.81779534,0.8097466,0.7993869,0.7888595,0.7840573,0.76153946,0.74166816,0.7337005,0.72256905,0.7111408,0.7016387,0.690642,0.67360353,0.6595328,0.63602555,0.58526266,0.5588648,0.49861565,0.4219156,0.31750512,0.26479992,0.15330616,0.105591886
0.8470443,0.8282988,0.8147869,0.8041267,0.8025885,0.79066455,0.78180784,0.7574026,0.75304705,0.73410183,0.7147688,0.69534487,0.69378597,0.6868404,0.64265627,0.6341323,0.5966627,0.57989776,0.5144879,0.45625627,0.39127347,0.33179247,0.2896734,0.21887167,0.07908233
0.8264315,0.81317747,0.7943558,0.7912991,0.76325494,0.7579242,0.7491112,0.7301231,0.71574783,0.7088625,0.6765324,0.6745198,0.6586415,0.64075243,0.6291595,0.5923444,0.5627475,0.52699363,0.4754933,0.39649278,0.3718883,0.30624858,0.20765023,0.15641098,0.021942249
0.82972044,0.8047838,0.79724735,0.77995366,0.75841755,0.745133,0.72354823,0.713976,0.7065004,0.6874694,0.6603128,0.645483,0.6392345,0.6197491,0.60352176,0.5672439,0.5198686,0.4931136,0.43570024,0.41524687,0.33071256,0.22175127,0.15065077,0.116797715,0.0009127724
0.85013855,0.83454686,0.8187219,0.78866184,0.7873521,0.7590299,0.749796,0.7383327,0.7185835,0.6918623,0.65990835,0.6443527,0.6236001,0.6151287,0.61041903,0.57260317,0.5671616,0.5448774,0.5064225,0.45785567,0.42852816,0.35488215,0.22307487,0.1333793,0.018867701
0.9280254,0.8789318,0.8582526,0.8396914,0.8249994,0.7969323,0.78666174,0.76732516,0.7586382,0.7497188,0.7372599,0.7182298,0.6877081,0.6593438,0.64081943,0.6041606,0.59428805,0.55186015,0.49822453,0.45904124,0.41880012,0.36639774,0.21860318,0.143846,0.033158094
0.9202669,0.8807679,0.8680956,0.83524257,0.8332237,0.81345874,0.78383684,0.7781055,0.7667504,0.75324327,0.73036987,0.7171898,0.7003273,0.69242465,0.65165734,0.64066195,0.59387255,0.59071887,0.52408004,0.4894709,0.45620024,0.41948107,0.28031287,0.09761662,0.061218005
0.8999622,0.8633572,0.8583805,0.83954346,0.8342735,0.813582,0.79876167,0.76964676,0.76125926,0.7375384,0.71339476,0.70619583,0.6986362,0.6722902,0.65770847,0.61251646,0.5881827,0.5650265,0.5437604,0.45870408,0.42450577,0.37970588,0.30115893,0.06914297,0.02693189
0.89597785,0.8625873,0.85041875,0.82417285,0.81545496,0.80277175,0.7884938,0.77351063,0.75117236,0.74280953,0.71920764,0.7082599,0.6791854,0.66315085,0.6510029,0.6058484,0.5620346,0.50108904,0.4879022,0.41507664,0.3739527,0.27920055,0.24259043,0.10244613,0.07237491
0.9026018,0.89122087,0.8621927,0.85297394,0.84257257,0.82156277,0.816013,0.80332017,0.7919251,0.77891964,0.767367,0.7464079,0.7362267,0.7163125,0.695423,0.65616137,0.624002,0.6025107,0.5389055,0.49263474,0.40710607,0.30823243,0.23005764,0.08601309,0.026100338
0.9030057,0.8842094,0.8702033,0.8645097,0.8596587,0.84649676,0.8320355,0.8278935,0.80735785,0.7996463,0.7936228,0.77147627,0.75613266,0.7466613,0.7233667,0.6904743,0.68484396,0.6622135,0.6000065,0.55758667,0.4775494,0.404028,0.2692854,0.15353073,0.022798588
0.92652225,0.9220027,0.9084623,0.90662825,0.89253366,0.8896198,0.88894916,0.88437784,0.87497985,0.85604876,0.8396618,0.8179873,0.81742686,0.8030229,0.7969218,0.76599514,0.75583285,0.7430834,0.6999728,0.65174925,0.61384493,0.5461668,0.49677932,0.30291188,0.016121838
0.913607,0.90451986,0.9004105,0.8985226,0.8891224,0.8831056,0.87534714,0.8653157,0.85428554,0.84256595,0.82658905,0.8196782,0.81155527,0.7808376,0.77293986,0.76671916,0.7486699,0.74052775,0.68276954,0.6681156,0.62673706,0.536061,0.45289585,0.2910983,0.17042555
0.9242445,0.8933386,0.88736874,0.8835227,0.8681389,0.85851204,0.85024154,0.8377676,0.834447,0.83203053,0.81277424,0.80320233,0.79036194,0.7528955,0.74367136,0.7279326,0.70814466,0.6852174,0.66898954,0.63775223,0.5831781,0.50156915,0.30986857,0.26314393,0.11010974
0.9045205,0.87212324,0.86869377,0.86135364,0.8418559,0.8359166,0.83071864,0.82672787,0.7989547,0.78811854,0.7757401,0.76505405,0.76241654,0.74862206,0.7138165,0.70246273,0.6916402,0.67939126,0.63584447,0.6069958,0.5379124,0.53209716,0.32138643,0.17358181,0.07388599
0.88723993,0.86374855,0.8448692,0.844381,0.8238264,0.8170503,0.802856,0.7959173,0.78251404,0.75923467,0.7483006,0.73891795,0.730149,0.72186494,0.67751116,0.6696276,0.6472182,0.60773855,0.5925771,0.56573784,0.5179712,0.45609796,0.44199467,0.23742232,0.01416817
0.870491,0.8445736,0.82806695,0.81032836,0.7993173,0.78766435,0.7767831,0.75585246,0.7522016,0.7430874,0.71681625,0.7117907,0.6971886,0.6795883,0.6443786,0.63954383,0.6138738,0.5832725,0.57592493,0.5258253,0.49692625,0.4591701,0.39902377,0.2410104,0.08793072
0.85382724,0.845699,0.82435197,0.80624557,0.78036433,0.76718974,0.7579415,0.75321454,0.7342061,0.706111,0.7015845,0.68000555,0.6728528,0.6615094,0.6241364,0.6112522,0.5894046,0.5483547,0.5100162,0.48378056,0.41206172,0.40857318,0.39004558,0.23807958,0.0393178
0.845634,0.8174209,0.8015577,0.7827728,0.7568072,0.73759615,0.7306933,0.7188063,0.6910918,0.6846599,0.67355824,0.65357584,0.6334062,0.62330556,0.6083032,0.5893003,0.56697595,0.5248587,0.48495868,0.47015983,0.39162636,0.38556567,0.33811533,0.2240431,0.01575082
0.8341695,0.81474644,0.7795314,0.74486285,0.7293214,0.71629167,0.7038178,0.6781793,0.669889,0.6485496,0.63789797,0.6333267,0.60157275,0.5770731,0.5585321,0.55674225,0.5102477,0.48008567,0.4527992,0.4141387,0.3649428,0.3416019,0.293976,0.1670538,0.04487094
0.82194084,0.7964645,0.7604807,0.72343826,0.6947394,0.6872847,0.6729362,0.6623267,0.64271665,0.6148549,0.60179526,0.5957897,0.5867281,0.5640363,0.5350339,0.51032495,0.49085483,0.4620754,0.4303844,0.37851968,0.34411186,0.32819164,0.2896554,0.20330854,0.122153185
0.83634406,0.79185873,0.75421005,0.7312632,0.6975695,0.68856007,0.68200815,0.6677016,0.6380891,0.6131039,0.58877134,0.57674253,0.54480207,0.53410107,0.51559925,0.5005352,0.4842679,0.45236057,0.42309752,0.38203692,0.34805936,0.29557762,0.26571074,0.1936346,0.10035726
0.85767484,0.80632997,0.7983505,0.7644838,0.7278874,0.7167997,0.6668891,0.64546895,0.628293,0.612668,0.59460443,0.57275397,0.5487757,0.5392929,0.5097596,0.49512503,0.43840003,0.40871966,0.3880894,0.32214206,0.2809035,0.2229395,0.18493693,0.15221949,0.024510821
